# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
0.0,0.0,0.238,0.131,0.5,0.952,0.083,0.048,0.0,0.0,0.35,0.091,0.357,0.56,0.313,0.286,0.0,0.0,0.0,30.0,0.0,13.6,0.298,28.0,NBA,312.0,PG,2008-09,LAC,Jason Hart
0.0,0.0,0.2,0.1,0.4,0.8,0.1,0.2,0.0,0.0,0.5,1.0,0.5,0.6,0.625,1.0,0.0,0.0,0.0,30.0,0.0,14.8,0.5,11.0,NBA,36.0,PG,2008-09,DEN,Jason Hart
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,31.0,0.0,17.6,0.5,5.0,NBA,22.0,PG,2009-10,TOT,Jason Hart
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,16.2,0.0,1.0,NBA,5.0,PG,2009-10,MIN,Jason Hart
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,19.0,1.0,4.0,NBA,17.0,PG,2009-10,NOH,Jason Hart
11.0,0.0,0.199,0.131,0.174,0.551,0.047,0.449,0.267,0.011,0.531,0.358,0.414,0.396,0.444,0.429,0.892,0.355,0.392,26.0,1.0,17.1,0.404,82.0,NBA,3023.0,PG,1996-97,DET,Lindsey Hunter
5.0,0.0,0.186,0.146,0.277,0.679,0.069,0.321,0.177,0.006,0.545,0.314,0.406,0.385,0.412,0.281,0.847,0.321,0.255,27.0,1.0,16.6,0.383,71.0,NBA,2505.0,PG,1997-98,DET,Lindsey Hunter
5.0,0.0,0.164,0.174,0.282,0.708,0.088,0.292,0.176,0.01,0.5,0.396,0.507,0.456,0.456,0.326,0.898,0.386,0.444,28.0,0.0,16.5,0.435,49.0,NBA,1755.0,PG,1998-99,DET,Lindsey Hunter
5.0,0.0,0.184,0.121,0.194,0.564,0.065,0.436,0.252,0.007,0.476,0.361,0.428,0.313,0.419,0.345,0.923,0.432,0.48,29.0,0.0,17.8,0.425,82.0,NBA,2919.0,PG,1999-00,DET,Lindsey Hunter
1.0,0.0,0.089,0.114,0.226,0.48,0.051,0.52,0.258,0.001,0.429,0.438,0.373,0.473,0.388,0.275,0.862,0.373,0.371,30.0,0.0,19.4,0.381,82.0,NBA,2002.0,PG,2000-01,MIL,Lindsey Hunter
6.0,0.0,0.122,0.139,0.278,0.576,0.037,0.424,0.231,0.012,0.55,0.324,0.368,0.509,0.383,0.167,0.899,0.38,0.438,31.0,0.0,18.2,0.382,82.0,NBA,1616.0,PG,2001-02,LAL,Lindsey Hunter
0.0,0.0,0.195,0.099,0.272,0.646,0.079,0.354,0.215,0.0,0.492,0.333,0.341,0.319,0.369,0.208,0.882,0.318,0.304,32.0,0.0,16.0,0.351,29.0,NBA,673.0,PG,2002-03,TOR,Lindsey Hunter
0.0,0.0,0.203,0.112,0.287,0.65,0.049,0.35,0.52,0.0,0.483,0.438,0.317,0.629,0.376,0.143,1.0,0.28,0.385,33.0,0.0,15.8,0.343,33.0,NBA,661.0,SG,2003-04,DET,Lindsey Hunter
3.0,0.0,0.325,0.056,0.275,0.722,0.066,0.278,0.262,0.013,0.469,0.176,0.373,0.506,0.39,0.25,1.0,0.274,0.5,34.0,1.0,13.7,0.358,76.0,NBA,1144.0,SG,2004-05,DET,Lindsey Hunter
0.0,0.0,0.18,0.08,0.27,0.57,0.04,0.43,0.302,0.0,0.5,0.375,0.481,0.462,0.456,0.25,0.727,0.256,0.308,35.0,0.0,17.5,0.37,30.0,NBA,353.0,PG,2005-06,DET,Lindsey Hunter
0.0,0.0,0.209,0.066,0.205,0.512,0.033,0.488,0.395,0.0,0.51,0.313,0.46,0.339,0.448,0.25,0.816,0.319,0.383,36.0,1.0,17.4,0.385,52.0,NBA,745.0,PG,2006-07,DET,Lindsey Hunter
0.0,0.0,0.203,0.047,0.328,0.594,0.016,0.406,0.154,0.0,0.308,0.333,0.476,0.4,0.395,0.0,0.857,0.269,0.5,37.0,0.0,17.8,0.344,24.0,NBA,215.0,PG,2007-08,DET,Lindsey Hunter
0.0,0.0,0.146,0.049,0.183,0.415,0.037,0.585,0.146,0.0,0.667,0.25,0.067,0.0,0.324,0.333,0.875,0.333,0.571,38.0,0.0,19.2,0.329,28.0,NBA,266.0,PG,2008-09,CHI,Lindsey Hunter
0.0,0.0,0.133,0.1,0.267,0.567,0.067,0.433,0.077,0.0,0.25,0.0,0.25,0.5,0.235,0.5,1.0,0.077,0.0,39.0,0.0,18.7,0.167,13.0,NBA,122.0,PG,2009-10,CHI,Lindsey Hunter
54.0,0.0,0.507,0.133,0.088,0.996,0.268,0.004,0.0,0.122,0.603,0.387,0.317,0.584,0.523,0.504,0.0,0.0,0.0,29.0,0.0,7.9,0.52,82.0,NBA,2599.0,C,1996-97,DEN,Ervin Johnson
56.0,0.0,0.49,0.076,0.013,1.0,0.42,0.0,0.0,0.121,0.671,0.361,0.5,0.601,0.537,0.414,0.0,0.0,0.0,30.0,0.0,5.8,0.537,81.0,NBA,2261.0,C,1997-98,MIL,Ervin Johnson
18.0,0.0,0.471,0.111,0.032,1.0,0.386,0.0,0.0,0.106,0.584,0.333,0.5,0.604,0.508,0.466,0.0,0.0,0.0,31.0,0.0,6.8,0.508,50.0,NBA,1027.0,C,1998-99,MIL,Ervin Johnson
