SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2014-15,21.0,PHO,NBA,C,69.0,44.0,1518.0,4.2,8.4,0.507,0.0,0.1,0.333,4.2,8.3,0.509,1.7,2.5,0.702,3.4,7.4,10.8,0.8,0.8,2.5,1.8,5.1,10.2,Alex Len
2015-16,22.0,PHO,NBA,C,78.0,46.0,1821.0,5.2,12.3,0.423,0.0,0.1,0.143,5.2,12.2,0.426,3.4,4.7,0.728,3.5,8.2,11.7,1.9,0.8,1.2,2.9,4.5,13.9,Alex Len
2016-17,23.0,PHO,NBA,C,77.0,34.0,1560.0,5.3,10.7,0.497,0.1,0.3,0.25,5.2,10.4,0.503,3.5,4.8,0.721,3.6,8.2,11.8,1.0,0.9,2.3,2.4,5.6,14.1,Alex Len
2017-18,24.0,PHO,NBA,C,69.0,13.0,1395.0,5.5,9.8,0.566,0.0,0.1,0.333,5.5,9.7,0.568,4.1,6.0,0.684,4.5,8.9,13.4,2.1,0.7,1.6,2.0,4.1,15.1,Alex Len
2018-19,25.0,ATL,NBA,C,77.0,31.0,1544.0,7.5,15.1,0.494,1.7,4.8,0.363,5.7,10.4,0.554,3.3,5.0,0.648,3.7,6.2,9.9,2.0,0.6,1.6,2.3,4.7,19.9,Alex Len
2019-20,26.0,TOT,NBA,C,55.0,12.0,970.0,6.6,11.8,0.555,0.6,2.2,0.271,6.0,9.6,0.619,2.5,3.9,0.648,3.7,8.2,11.9,1.9,0.9,1.8,2.0,4.7,16.3,Alex Len
2019-20,26.0,ATL,NBA,C,40.0,9.0,745.0,6.9,12.6,0.546,0.7,2.7,0.25,6.2,9.9,0.627,2.5,3.9,0.63,3.3,7.8,11.1,2.0,1.0,1.6,1.9,4.5,16.9,Alex Len
2019-20,26.0,SAC,NBA,C,15.0,3.0,225.0,5.6,9.4,0.593,0.3,0.5,0.667,5.3,9.0,0.589,2.7,3.8,0.708,5.0,9.6,14.6,1.3,0.5,2.4,2.6,5.4,14.2,Alex Len
2020-21,27.0,TOT,NBA,C,64.0,42.0,979.0,6.3,10.2,0.615,0.3,0.9,0.32,6.0,9.3,0.644,2.7,4.3,0.629,2.9,6.7,9.6,1.8,0.7,2.4,2.0,4.7,15.6,Alex Len
2020-21,27.0,TOR,NBA,C,7.0,2.0,76.0,2.4,4.7,0.5,1.4,2.8,0.5,0.9,1.9,0.5,1.4,2.8,0.5,0.0,5.2,5.2,1.4,0.5,2.8,3.8,4.7,7.6,Alex Len
2020-21,27.0,WAS,NBA,C,57.0,40.0,903.0,6.6,10.7,0.619,0.2,0.8,0.263,6.4,9.9,0.647,2.8,4.4,0.636,3.1,6.8,9.9,1.8,0.8,2.3,1.9,4.7,16.2,Alex Len
2021-22,28.0,SAC,NBA,C,39.0,10.0,620.0,5.5,10.2,0.534,0.3,1.2,0.286,5.1,9.0,0.568,2.4,3.7,0.651,3.0,6.3,9.3,2.6,0.8,1.5,2.5,5.8,13.6,Alex Len
2022-23,29.0,SAC,NBA,C,26.0,2.0,161.0,3.6,6.7,0.533,0.0,0.4,0.0,3.6,6.3,0.571,2.5,3.6,0.688,5.4,8.0,13.4,2.7,0.9,2.5,3.6,6.3,9.6,Alex Len
2006-07,20.0,MEM,NBA,PG,10.0,0.0,175.0,2.9,7.8,0.368,0.6,1.6,0.375,2.3,6.2,0.367,5.1,5.8,0.893,2.5,3.9,6.4,6.6,2.9,0.2,2.5,4.1,11.5,Kyle Lowry
2007-08,21.0,MEM,NBA,PG,82.0,9.0,2089.0,4.4,10.2,0.432,0.6,2.4,0.257,3.8,7.8,0.487,4.2,6.0,0.698,0.7,3.6,4.3,5.1,1.6,0.4,2.2,3.2,13.6,Kyle Lowry
2008-09,22.0,TOT,NBA,PG,77.0,21.0,1679.0,4.1,9.3,0.435,0.5,2.1,0.255,3.5,7.2,0.488,3.9,4.8,0.801,0.6,3.5,4.1,5.9,1.5,0.4,2.5,3.1,12.5,Kyle Lowry
2008-09,22.0,MEM,NBA,PG,49.0,21.0,1071.0,3.8,9.1,0.412,0.6,2.3,0.246,3.2,6.8,0.468,4.3,5.4,0.801,0.4,3.3,3.7,6.0,1.6,0.3,2.7,3.0,12.4,Kyle Lowry
